posicion,regla_id_dominante,regla_dominante,soporte_busqueda,confianzas_familia,metodo_similitud,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso,miembros_familia_jaccard,jaccard_maximo_familia,nivel_confianza
149,RD_0076,colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,"altura_cm(c=0.535, r=0.185) Y sexo=2 Y actividad_fisica=0",3,0.008916770546790563,0.0014700790750478284,0.9579379474792593,0.050692381898200974,0.9436712863903531,0.03779608715614606,2,0.9425961615221213,alta
128,RD_0052,presion_sistolica cercana a 102.00 con radio ±12.57 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_diastolica(c=0.430, r=0.108) Y colesterol=3 Y fumador=0",3,0.012871345812421074,0.001329706754793165,0.8796942048309493,0.07964494285977632,0.8456323896310085,0.060883882737923424,1,0.0,alta
111,RD_0039,presion_sistolica cercana a 102.00 con radio ±12.57 => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"peso_kg(c=0.559, r=0.112) Y presion_diastolica(c=0.414, r=0.109) Y alcohol=0",3,0.016716619533292357,0.0010278121411373192,0.8795821706772667,0.10008603523226035,0.8488502982593787,0.07877299244670512,1,0.0,alta
158,RD_0732,presion_diastolica cercana a 73.27 con radio ±19.49 => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.484, r=0.061) Y colesterol=3",2,0.007788649670512825,0.008876952131622635,0.878077200630043,0.051244121351514654,0.80038627972838,0.0291933402699856,1,0.0,alta
122,RD_0561,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,colesterol=1 Y fumador=0 Y actividad_fisica=0,3,0.01402793011788654,0.0035,0.875,0.11475409836065574,0.8023809523809524,0.06993152106246109,5,1.0,alta
123,RD_0560,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,colesterol=1 Y fumador=0 Y actividad_fisica=0,3,0.01402793011788654,0.0035,0.875,0.11475409836065574,0.8023809523809524,0.06993152106246109,6,1.0,alta
148,RD_0561,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"edad_anios(c=0.436, r=0.096) Y colesterol=1 Y alcohol=0",3,0.009027237960403105,0.0023144344095936045,0.8713200563484099,0.07588309539651161,0.7965631367032004,0.04533093508577289,1,0.0,alta
116,RD_0052,presion_sistolica cercana a 102.00 con radio ±12.57 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"peso_kg(c=0.567, r=0.099) Y presion_diastolica(c=0.449, r=0.107) Y alcohol=0",3,0.014788185533730808,0.0015509587051073836,0.8698966109394278,0.09289718729402456,0.8330608326725532,0.07100650974689875,2,0.9323274955888253,alta
3,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.690, r=0.187)",1,0.12056415515677592,0.01147699113981668,0.8595250329888304,0.3905243251613205,0.8036615664231734,0.3000371305383342,2,0.9347421246364149,alta
65,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.143, r=0.138)",1,0.03609463389198795,0.005913450823299022,0.8553550038482032,0.15359612528049407,0.7709787560929885,0.09363327745864515,13,0.9951155254394214,alta
