posicion,regla_id_dominante,regla_dominante,soporte_busqueda,confianzas_familia,metodo_similitud,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso,miembros_familia_jaccard,jaccard_maximo_familia
45,RD_1119,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.615, r=0.185)",1,0.04211824260021612,0.0022923004665960692,0.7133999265961011,0.2822110562670285,0.5394833752684818,0.15614287494681503,25,0.9970612989315526
46,RD_1105,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.607, r=0.076)",1,0.042100426002717094,0.005134131182473872,0.780668624483799,0.22124914868559784,0.6506319821694009,0.1294139456912085,1,0.0
47,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.603, r=0.100)",1,0.042092565176169765,0.00410722458238216,0.7730906518455225,0.21771810886986018,0.6468455008066512,0.13014719936577768,1,0.0
48,RD_1139,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.599, r=0.136)",1,0.04204843699558585,0.003069028460036689,0.6931103193880621,0.3099114902625998,0.5026186096731838,0.1673174696930815,1,0.0
49,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.638, r=0.222)",1,0.041782913123946275,0.00990407821769418,0.7296972316543987,0.2789881188082868,0.5536284559430437,0.15094207198137527,3,0.9167474599013717
50,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.654, r=0.174)",1,0.04155214131525666,0.00840767996100567,0.7750067676248201,0.23683605523959633,0.6284515428666754,0.13223657985058637,4,0.9254209870412224
51,RD_1119,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.654, r=0.218)",1,0.04139732759908681,0.0020299591143982374,0.7434848819397065,0.24991353193060975,0.5878246821128476,0.14084923229249352,2,0.8981192888591553
52,RD_0247,presion_sistolica cercana a 102.00 con radio ±14.32 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"peso_kg(c=0.549, r=0.117) Y presion_diastolica(c=0.436, r=0.097)",2,0.04076431470975565,0.0010516851526793606,0.8456594818473829,0.1730300754678452,0.820916066878435,0.1489713127363807,20,0.9990429448222148
53,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_diastolica(c=0.607, r=0.122)",1,0.04060324262295876,0.008376882235626512,0.6141569106970742,0.28503779798824097,0.460716529272034,0.17626128017206097,1,0.0
54,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.668, r=0.174)",1,0.04059566299089825,0.007392269675881343,0.8086007308248314,0.20823294861637584,0.6839278123712812,0.11871329768019506,2,0.9264923016396245
55,RD_1105,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.623, r=0.070)",1,0.040171916244475483,0.004699600626020841,0.795785601131746,0.2025235820266665,0.6747114744657257,0.1190787996492452,1,0.0
