posicion,regla_id_dominante,regla_dominante,soporte_busqueda,confianzas_familia,metodo_similitud,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso,miembros_familia_jaccard,jaccard_maximo_familia
1,RD_1105,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"altura_cm(c=0.478, r=0.104) Y presion_diastolica(c=0.513, r=0.089) Y actividad_fisica=1",3,0.003114204903555453,0.001893632606803601,0.6073508188544678,0.08160379766079695,0.37455794549790866,0.03325738984835222,1,0.0
2,RD_0458,colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,"altura_cm(c=0.477, r=0.095) Y presion_sistolica(c=0.497, r=0.095) Y glucosa=2",3,0.002301401883192044,0.0021369170088137578,0.6557218550991992,0.04190033350615211,0.466924162734244,0.019715423333119878,1,0.0
3,RD_0459,colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"altura_cm(c=0.477, r=0.095) Y presion_sistolica(c=0.497, r=0.095) Y glucosa=2",3,0.0013034080923175373,0.0013074181628620822,0.6426371671249308,0.02563565025219769,0.4466640007095703,0.011672380941799147,1,0.0
