regla_id,posicion,regla,consecuente,metodo_similitud,variables_antecedente,numero_condiciones,fitness,soporte_XY,confianza,lift,factor_certeza,miembros_familia_jaccard,numero_semillas,numero_tamanos_enjambre,tamanos_enjambre,semillas,proporcion_semillas,nivel_estabilidad,es_reproducible,orden_estabilidad
RD_0317,317,altura_cm cercana a 158.19 con radio ±6.73 Y presion_sistolica cercana a 151.22 con radio ±13.26 Y sexo = mujer Y glucosa = normal => enfermedad_cardiovascular = si,si,triangular,"altura_cm, glucosa, presion_sistolica, sexo",4,0.11529916498196009,0.02089160367667299,0.841679771994268,1.6918186371744082,0.6849348696403345,1,1,1,500,55,0.5,exploratoria,False,2
RD_0318,318,peso_kg cercana a 85.42 con radio ±7.51 Y presion_sistolica cercana a 151.00 con radio ±12.83 Y sexo = mujer => enfermedad_cardiovascular = si,si,triangular,"peso_kg, presion_sistolica, sexo",3,0.11526717350975824,0.010218047433512702,0.790565080313029,1.5890755383176463,0.5832140901751821,1,1,1,500,55,0.5,exploratoria,False,2
RD_0319,319,altura_cm cercana a 158.05 con radio ±5.17 Y presion_sistolica cercana a 154.04 con radio ±19.78 Y sexo = mujer Y colesterol = normal => enfermedad_cardiovascular = si,si,gaussiana,"altura_cm, colesterol, presion_sistolica, sexo",4,0.11509943987722976,0.011419845140863239,0.8412564600420317,1.6909677588784557,0.684092457795088,1,1,1,500,55,0.5,exploratoria,False,2
RD_0321,321,presion_sistolica cercana a 158.00 con radio ±24.45 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, colesterol, fumador, presion_sistolica",4,0.1147866096069095,0.058938953907531774,0.840592816242083,1.6896338014916241,0.6827717736160858,3,1,1,500,13,0.5,exploratoria,False,2
RD_0322,322,presion_diastolica cercana a 95.28 con radio ±16.84 Y sexo = hombre => enfermedad_cardiovascular = si,si,gaussiana,"presion_diastolica, sexo",2,0.1145325166255248,0.049011816732552387,0.7330374469909153,1.4734421045043524,0.4687312377928664,1,1,1,500,13,0.5,exploratoria,False,2
RD_0324,324,edad_anios cercana a 62.49 con radio ±3.89 => enfermedad_cardiovascular = si,si,gaussiana,edad_anios,1,0.11424622683963721,0.07851974928946232,0.6690998786413949,1.3449243791786831,0.3414922958037709,1,1,1,500,55,0.5,exploratoria,False,2
RD_0325,325,presion_sistolica cercana a 144.67 con radio ±12.90 Y presion_diastolica cercana a 86.18 con radio ±7.39 Y sexo = mujer Y glucosa = normal => enfermedad_cardiovascular = si,si,triangular,"glucosa, presion_diastolica, presion_sistolica, sexo",4,0.11397575792616571,0.028277483839887454,0.8388691865119209,1.686169219119439,0.6793416647003402,1,1,1,500,55,0.5,exploratoria,False,2
RD_0326,326,altura_cm cercana a 158.05 con radio ±5.17 Y presion_sistolica cercana a 154.04 con radio ±19.78 Y sexo = mujer Y colesterol = normal => enfermedad_cardiovascular = si,si,triangular,"altura_cm, colesterol, presion_sistolica, sexo",4,0.11365469044895873,0.016507018397840353,0.8381852994629765,1.6847945717848773,0.6779806954487095,1,1,1,500,55,0.5,exploratoria,False,2
RD_0327,327,peso_kg cercana a 85.21 con radio ±9.22 Y sexo = mujer Y colesterol = muy_arriba_de_lo_normal Y fumador = no => enfermedad_cardiovascular = si,si,triangular,"colesterol, fumador, peso_kg, sexo",4,0.1134361528626467,0.014718902528998604,0.8377193511273738,1.6838579922158268,0.677053435079351,1,1,1,100,13,0.5,exploratoria,False,2
RD_0328,328,altura_cm cercana a 161.36 con radio ±5.78 Y presion_sistolica cercana a 158.00 con radio ±28.00 Y sexo = mujer Y glucosa = normal => enfermedad_cardiovascular = si,si,triangular,"altura_cm, glucosa, presion_sistolica, sexo",4,0.11335661690000381,0.026332072856142745,0.8375496793997594,1.6835169435171045,0.6767157799000189,1,1,1,500,13,0.5,exploratoria,False,2
